tarih,kahvalti,ogle,aksam,not
2026-09-21,"Menemen, Beyaz peynir, Zeytin, Çay","Ezogelin çorbası, Tavuk sote, Pirinç pilavı, Mevsim salata","Karnıyarık, Cacık, Bulgur pilavı, Karpuz",
2026-09-22,"Omlet, Bal-kaymak, Domates, Çay","Mercimek çorbası, İzmir köfte, Makarna, Ayran","Fırın tavuk, Patates püresi, Turşu, Sütlaç",Öğleden sonra kermes var
2026-09-23,"Sucuklu yumurta, Kaşar, Salatalık, Çay","Yayla çorbası, Etli nohut, Bulgur pilavı, Cacık","Balık, Roka salata, Mısır ekmeği, Meyve",
2026-09-24,"Peynirli poğaça, Reçel, Zeytin, Çay","Domates çorbası, Kıymalı ıspanak, Yoğurt, Pilav","Mantı, Yoğurt, Salata, Kemalpaşa",
2026-09-25,"Simit, Krem peynir, Domates, Çay","Tarhana çorbası, Tas kebabı, Şehriyeli pilav, Turşu","Pide çeşitleri, Ayran, Salata, Künefe",Hafta sonu mutfak kapalı
2026-09-28,"Menemen, Zeytin, Kaşar, Çay","Şehriye çorbası, Etli kuru fasulye, Pilav, Turşu","Tavuk şiş, Közlenmiş biber, Lavaş, Revani",
2026-09-29,"Haşlanmış yumurta, Bal, Peynir, Çay","Mercimek çorbası, Firik pilavı, Tavuk haşlama, Ayran","Sebzeli güveç, Bulgur pilavı, Cacık, Meyve",
2026-09-30,"Börek, Zeytin, Salatalık, Çay","Düğün çorbası, Orman kebabı, Makarna, Salata","Izgara köfte, Patates kızartması, Piyaz, Muhallebi",
2026-10-01,"Omlet, Reçel, Domates, Çay","Brokoli çorbası, Karnabahar graten, Pilav, Yoğurt","Tavuk sote, Bulgur pilavı, Turşu, Ayva tatlısı",
2026-10-02,"Sucuklu tost, Zeytin, Çay","Tavuk suyu çorba, Etli biber dolma, Yoğurt, Pilav","Lahmacun, Ayran, Salata, Baklava",Ay sonu değerlendirme toplantısı 16:00
